player_a,player_b,present_a,present_b,painted_a,painted_b,score,winner
aquila,chorche,true,true,true,0,,aquila
aquila,keksbroesel,true,true,true,0,,keksbroesel
army,halato,true,true,0,true,,army
army,salkinus,true,true,0,0,,army
askonnox,bugmann,true,true,0,0,,askonnox
askonnox,skizz,true,true,0,0,,askonnox
bennz,saschanian,true,true,0,0,,saschanian
bennz,skizz,true,true,0,0,,skizz
bugmann,polsebjorn,true,true,0,0,,polsebjorn
chuhonez,empix,0,0,0,true,,chuhonez
chuhonez,lupublic,true,true,0,true,,chuhonez
complix,chorche,true,true,0,0,,chorche
complix,heavygrinsamal,0,0,0,0,,
disqord,lionel,0,0,0,0,,disqord
disqord,scurvymcg,true,true,0,0,,disqord
divado,ekko,0,0,0,true,,divado
divado,superkonsti,0,0,0,true,,divado
ekko,superkonsti,true,true,true,true,,ekko
empix,lupublic,0,0,true,true,,empix
feulp,mastercraze,true,true,0,true,,mastercraze
feulp,paenu,0,0,0,0,
goschn,stardewd,true,true,0,0,,stardewd
goschn,tobi131313,true,true,0,0,,tobi131313
green,tabletopweinviertl,true,true,0,0,,tabletopweinviertl
green,thelyricalmachete,true,true,0,0,,thelyricalmachete
grip,heavygrinsamal,0,0,0,0,,grip
grip,kanemotri,true,true,0,true,,kanemotri
halato,salkinus,true,true,true,0,,salkinus
justcoco,thelyricalmachete,0,0,0,0,,thelyricalmachete
justcoco,tobi131313,0,0,0,0,,tobi131313
kanemotri,schwarmbruder,true,true,true,0,,schwarmbruder
keksbroesel,kunsterblich,true,true,0,0,,keksbroesel
kunsterblich,schwarmbruder,true,true,0,0,,schwarmbruder
linus,polsebjorn,true,true,0,0,,polsebjorn
linus,saschanian,true,true,0,0,,saschanian
lionel,scurvymcg,true,true,0,0,,scurvymcg
madeleine,paenu,true,true,true,0,,madeleine
madeleine,paeu,true,true,true,true,,paeu
mastercraze,tempest,true,true,true,0,,tempest
paeu,whitewolf,true,true,true,0,,whitewolf
rem,tempest,true,true,0,0,,rem
rem,tris,true,true,0,0,,rem
stardewd,tabletopweinviertl,true,true,0,0,,stardewd
tris,whitewolf,true,true,0,0,,whitewolf
